ut,mission,design,trajectory,body,body_mu,body_radius,mass,thrust,available_thrust,isp,altitude,speed,g_force,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,apoapsis_altitude,periapsis_altitude,semi_major_axis,stage
8026.523593754922,phase0-forces,E,nominal,Kerbin,3531599999999.9995,600000.0,26876.376953125,0.0,1480000.125,315.0,171423.1173893744,2262.552416872264,0.0006745913997292519,-662636.7122206333,-1305.9121301161576,394974.06022886944,-2010.4576356516884,-3.767255660178531,1037.877325183057,1148047.5979700831,-598397.4353108736,874825.0813296048,0
8027.043593754934,phase0-forces,E,nominal,Kerbin,3531599999999.9995,600000.0,26876.376953125,0.0,1480000.125,315.0,172596.6606001322,2259.4768742944652,0.0006706133135594428,-663681.4616511442,-1307.8697461394243,395513.34605522966,-2007.8108177037102,-3.762039562627596,1036.2998180265085,1148047.5979459577,-598397.4353110157,874825.081317471,0
8027.563593754945,phase0-forces,E,nominal,Kerbin,3531599999999.9995,600000.0,26876.376953125,0.0,1480000.125,315.0,173768.61061540246,2256.410652677492,0.0006666583940386772,-664724.8367877792,-1309.8246539348795,396051.8128863021,-2005.1718772710171,-3.7568393916802365,1034.7273371645676,1148047.597952514,-598397.4353108361,874825.0813208389,0
8028.083593754956,phase0-forces,E,nominal,Kerbin,3531599999999.9995,600000.0,26876.376953125,0.0,1480000.125,315.0,174938.9722462236,2253.353697166298,0.0006627396796829998,-665766.8417133979,-1311.7768617629076,396589.46332758956,-2002.5407684477639,-3.7516550532848463,1033.1598522600575,1148047.5979732743,-598397.4353108136,874825.0813312304,0
8028.603593754968,phase0-forces,E,nominal,Kerbin,3531599999999.9995,600000.0,26876.376953125,0.0,1480000.125,315.0,176107.75027853798,2250.3059533498063,0.0006588581018149853,-666807.4804902419,-1313.7263778315614,397126.29996976187,-1999.917445704458,-3.7464864541629206,1031.5973332108729,1148047.5979713215,-598397.4353110284,874825.0813301465,0
8029.123593754979,phase0-forces,E,nominal,Kerbin,3531599999999.9995,600000.0,26876.376953125,0.0,1480000.125,315.0,177274.94946620206,2247.2673672962633,0.0006550117395818233,-667846.7571532524,-1315.6732103013287,397662.3253862193,-1997.3018639180561,-3.7413335017338,1030.039750168781,1148047.5979253454,-598397.4353111583,874825.0813070935,0
8029.64359375499,phase0-forces,E,nominal,Kerbin,3531599999999.9995,600000.0,26876.376953125,0.0,1480000.125,315.0,178440.57453855907,2244.237885579579,0.0006511876126751304,-668884.6757167417,-1317.6173672844398,398197.5421366944,-1994.6939783790658,-3.7361961043225453,1028.4870735831657,1148047.5979347827,-598397.4353112055,874825.0813117886,0
8030.163593755002,phase0-forces,E,nominal,Kerbin,3531599999999.9995,600000.0,26876.376953125,0.0,1480000.125,315.0,179604.63019582024,2241.217455153931,0.0006473956163972616,-669921.2401706898,-1319.5588568432036,398731.952764448,-1992.093744693063,-3.731074171032043,1026.9392741184658,1148047.59796198,-598397.4353111809,874825.0813253996,0
8030.683593755013,phase0-forces,E,nominal,Kerbin,3531599999999.9995,600000.0,26876.376953125,0.0,1480000.125,315.0,180767.12111349648,2238.2060234006804,0.0006436477415263653,-670956.4544847229,-1321.4976869992001,399265.5597982508,-1989.5011188178246,-3.725967611497016,1025.396322684585,1148047.597943806,-598397.435311173,874825.0813163166,0
8031.2035937550245,phase0-forces,E,nominal,Kerbin,3531599999999.9995,600000.0,26876.376953125,0.0,1480000.125,315.0,181928.05193553865,2235.203538248438,0.0006399151752702892,-671990.3226004976,-1323.4338657215253,399798.3657517731,-1986.9160571712796,-3.7208763364577666,1023.8581904895619,1148047.5980111638,-598397.4353110361,874825.0813500639,0
