ut,mission,design,trajectory,body,body_mu,body_radius,mass,thrust,available_thrust,isp,altitude,speed,g_force,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,apoapsis_altitude,periapsis_altitude,semi_major_axis,stage
1320.7999999990889,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,2630.0,0.0,0.0,340.0,1548148.627667786,1116.374812944009,1.5399775293190032e-05,1919402.497669768,11661.955357095067,964520.9055729675,968.6011776153296,11.659512791893631,554.949130515062,2856939.285643904,-597550.4342397399,1729694.425702082,1
1321.3199999990884,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,2630.0,0.0,0.0,340.0,1548728.1660786397,1115.9775526300707,1.5381412595161237e-05,1919906.0778339223,11668.017741940943,964809.4326643018,968.2456861721938,11.657352609805233,554.7704888629808,2856939.285637497,-597550.43423982,1729694.4256988384,1
1321.839999999088,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,2630.0,0.0,0.0,340.0,1549307.4981290526,1115.5805066179103,1.536298259452451e-05,1920409.473192525,11674.079003646302,965097.8668848008,967.8903890407771,11.65519305293661,554.5919382963164,2856939.285637278,-597550.4342396972,1729694.4256987905,1
1322.3599999990874,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,2630.0,0.0,0.0,340.0,1549886.6239328873,1115.183674659891,1.534428338345606e-05,1920912.6838487717,11680.139142548518,965386.2082835385,967.5352859990016,11.653034120804763,554.4134787056921,2856939.285658485,-597550.4342399699,1729694.4257092574,1
1322.879999999087,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,2630.0,0.0,0.0,340.0,1550465.5435989448,1114.7870564966938,1.532719034003094e-05,1921415.7099020001,11686.198158964728,965674.4569059943,967.1803768073758,11.650875812886495,554.2351099886206,2856939.2856548093,-597550.4342401038,1729694.4257073528,1
1323.3999999990865,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,2630.0,0.0,0.0,340.0,1551044.2572382805,1114.3906518912738,1.530886220280081e-05,1921918.55145277,11692.256053231735,965962.6128002363,966.8256612478922,11.648718128718173,554.0568320499186,2856939.2856700066,-597550.4342398555,1729694.4257150756,1
1323.919999999086,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,2630.0,0.0,0.0,340.0,1551622.7649613353,1113.9944605898431,1.529158907942474e-05,1922421.2086011707,11698.312825658679,966250.6760138948,966.471139092057,11.646561067850998,553.878644779026,2856939.2856834084,-597550.434239694,1729694.4257218572,1
1324.4399999990856,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,2630.0,0.0,0.0,340.0,1552201.066879103,1113.5984823435094,1.527345557406079e-05,1922923.6814483753,11704.368476577733,966538.6465936787,966.116810114102,11.644404629785502,553.7005480704685,2856939.285690131,-597550.4342397805,1729694.4257251753,1
1324.939999999085,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,2630.0,0.0,0.0,340.0,1552756.932434041,1113.2179347219976,1.5256340702762827e-05,1923406.6547055033,11710.190160511589,966815.4540675342,965.7762911393049,11.64233171853196,553.5293865478812,2856939.285696676,-597550.4342398159,1729694.42572843,1
1325.4799999990846,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,2630.0,0.0,0.0,340.0,1553357.0537397773,1112.8071640331596,1.52386801346438e-05,1923928.0746397935,11716.476415182444,967114.3100399675,965.4087307901996,11.640093620144873,553.3446259412785,2856939.285705633,-597550.4342398413,1729694.425732896,1
1325.9999999990841,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,2630.0,0.0,0.0,340.0,1553934.7389029283,1112.4118234736593,1.5222026377159636e-05,1924429.9951842548,11722.528703507856,967402.0030001746,965.0549799912671,11.637939047630663,553.1668003168394,2856939.285704971,-597550.4342396201,1729694.4257326752,1
1326.5799999990836,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,2630.0,0.0,0.0,340.0,1554578.8377770581,1111.9711168700242,1.5201613678073045e-05,1924989.6126892571,11729.278011260198,967722.7822432094,964.66063861972,11.635536603001094,552.968562703996,2856939.285702816,-597550.4342395342,1729694.425731641,1
