ut,mission,design,trajectory,body,body_mu,body_radius,mass,thrust,available_thrust,isp,altitude,speed,g_force,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,apoapsis_altitude,periapsis_altitude,semi_major_axis,stage
7992.883593754188,phase0-forces,D,nominal,Kerbin,3531599999999.9995,600000.0,35272.359375,1370368.0,1370402.375,337.6269226074219,21950.24815126008,944.3230740734268,3.939380168914795,-532810.9876655482,-1054.1085429955795,320832.4351643029,-882.9774217017427,-1.59803798270313,334.8049988680505,73387.53435020964,-598438.4467856578,337474.5437822759,0
7993.383593754199,phase0-forces,D,nominal,Kerbin,3531599999999.9995,600000.0,35065.41796875,1371194.875,1371226.5,337.8305969238281,22418.680554200313,958.9611078620952,3.9657812118530273,-533255.7793802129,-1054.9140879624713,321001.8299273391,-895.7191384226572,-1.6232002904770175,342.47773165022954,75743.93261472962,-598438.4821354124,338652.7252396586,0
7993.90359375421,phase0-forces,D,nominal,Kerbin,3531599999999.9995,600000.0,34850.1953125,1371990.25,1372019.625,338.0265808105469,22913.789922861033,974.3355727700797,3.9933457374572754,-533725.1543213296,-1055.7652611557312,321182.0896009747,-909.0959518757527,-1.6495979735210806,350.53050862206607,78269.65289986273,-598438.521388548,339915.5657556574,0
7994.403593754221,phase0-forces,D,nominal,Kerbin,3531599999999.9995,600000.0,34643.2578125,1372695.5,1372722.625,338.2003479003906,23397.561791945598,989.2643203631496,4.01996374130249,-534183.0679826692,-1056.5967020153148,321359.3837624398,-922.0794637464522,-1.6752078313824326,358.34418058528763,80772.77118605131,-598438.5612582073,341167.104963922,0
7994.943593754233,phase0-forces,D,nominal,Kerbin,3531599999999.9995,600000.0,34419.7578125,1373394.125,1373418.75,338.3724670410156,23928.600644337363,1005.5483071225415,4.04884147644043,-534684.942832283,-1057.50910849411,321555.2709643004,-936.2357890389025,-1.7031138501792997,366.86107000188235,83561.0093360839,-598438.6066562459,342561.201339919,0
7995.463593754244,phase0-forces,D,nominal,Kerbin,3531599999999.9995,600000.0,34204.5390625,1374008.0,1374030.625,338.5237121582031,24448.457406294532,1021.3877896442468,4.07678747177124,-535175.4907619348,-1058.4020311471104,321748.2709043882,-950.0001782467627,-1.730232578440476,375.13955331410153,86332.14076080255,-598438.6521600845,343946.74430035905,0
7996.003593754256,phase0-forces,D,nominal,Kerbin,3531599999999.9995,600000.0,33981.0390625,1374588.5,1374608.875,338.6667175292969,24997.20609681704,1038.0019552922124,4.105964660644531,-535692.5197711188,-1059.3442953675892,321953.272509786,-964.4322629970878,-1.7586558896022737,383.8168526917941,89302.52527920238,-598438.7007021331,345431.91228853463,0
7996.543593754268,phase0-forces,D,nominal,Kerbin,3531599999999.9995,600000.0,33757.54296875,1375115.25,1375133.875,338.7965087890625,25555.10726895486,1054.7855923061015,4.135321140289307,-536217.3816886182,-1060.3019801010416,322162.98292166856,-979.0061743902572,-1.7873373542735003,392.5765679042352,92370.75065600162,-598438.7502716434,346966.0001921791,0
7997.063593754279,phase0-forces,D,nominal,Kerbin,3531599999999.9995,600000.0,33542.3203125,1375576.75,1375593.75,338.91021728515625,26101.078661012813,1071.1087537932924,4.163787364959717,-536730.279147389,-1061.238901988296,322369.4183988961,-993.1753449127824,-1.815209150272523,401.0902663063968,95421.21535160916,-598438.7986037199,348491.2083739446,0
7997.603593754291,phase0-forces,D,nominal,Kerbin,3531599999999.9995,600000.0,33318.82421875,1376014.375,1376029.875,339.0180358886719,26677.204892835463,1088.2282977504003,4.1935930252075195,-537270.7409191913,-1062.227269578625,322588.50220934406,-1008.0309214044313,-1.8444066382790378,410.013521339748,98692.31082591624,-598438.8493512092,350126.7307373535,0
